Owned_Name,Owned_Type,Date,Price,Currency,Principal_Factor
Abbvie Inc,Stock,6/30/2020,98.18,USD,-
Adobe Inc,Stock,6/30/2020,435.31,USD,-
Agilent Technologies,Stock,6/30/2020,0.0,USD,-
Alibaba Group Holding  F Sponsored ADR,Stock,6/30/2020,215.7,USD,-
Alphabet Inc. Class                  A,Stock,6/30/2020,1418.05,USD,-
Amgen Inc.,Stock,6/30/2020,235.86,USD,-
Apple Inc,Stock,6/30/2020,364.8,USD,-
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,6/30/2020,1117.7856,USD,1
Bank Of America Corp,Stock,6/30/2020,23.75,USD,-
Becton Dickinson&co,Stock,6/30/2020,239.27,USD,-
BlackRock Inc,Stock,6/30/2020,544.09,USD,-
Borgwarner Inc Com,Stock,6/30/2020,0.0,USD,-
Boston Scientific Co,Stock,6/30/2020,0.0,USD,-
Bristol-Myers Squibb,Stock,6/30/2020,0.0,USD,-
Broadcom Inc,Stock,6/30/2020,0.0,USD,-
Cash,Cash,6/30/2020,1.0,USD,-
Cerner Corp,Stock,6/30/2020,68.73,USD,-
Change Healthcare Inc,Stock,6/30/2020,11.2,USD,-
Charles Schwab Corp,Stock,6/30/2020,33.74,USD,-
Chevron Corp,Stock,6/30/2020,89.23,USD,-
CIGNA Corp,Stock,6/30/2020,187.65,USD,-
Cisco Systems Inc,Stock,6/30/2020,46.64,USD,-
Comcast Corp Class                  A,Stock,6/30/2020,39.21,USD,-
Cummins Inc,Stock,6/30/2020,173.26,USD,-
Discover Finl S,Stock,6/30/2020,50.09,USD,-
Eastman Chemical Co,Stock,6/30/2020,70.3,USD,-
Emerson Electric Co,Stock,6/30/2020,62.03,USD,-
Exxon Mobil Corp,Stock,6/30/2020,44.72,USD,-
Facebook Inc Class                  A,Stock,6/30/2020,227.07,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,6/30/2020,1163.9611,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,6/30/2020,1164.1478,USD,1
