Owned_Name,Owned_Type,Type,Date,Units,Amount,Currency
Cerner Corp,Stock,Buy,2020-08-28,75.0,-5457.75,USD
Agilent Technologies,Stock,Buy,2020-08-28,165.0,-16391.1,USD
Chevron Corp,Stock,Buy,2020-09-29,75.0,-5370.75,USD
Broadcom Inc,Stock,Buy,2020-09-29,50.0,-18311.25,USD
Schwab Value Advantage Money Fund,Money Market Fund,Buy,2020-11-05,300000.0,-300000.0,USD
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,Buy,2020-12-31,8000.0,-408399.2,USD
Boston Scientific Co,Stock,Buy,2021-02-24,200.0,-7877.72,USD
Exxon Mobil Corp,Stock,Buy,2021-02-24,150.0,-8475.75,USD
Cisco Systems Inc,Stock,Buy,2021-05-04,300.0,-15178.5,USD
J P Morgan Chase & Co,Stock,Buy,2021-05-04,35.0,-5419.09,USD
VMware Inc Class A,Stock,Buy,2021-05-04,85.0,-13599.99,USD
Marathon Pete Corp,Stock,Buy,2021-05-04,75.0,-4347.38,USD
Jabil Circuit Inc,Stock,Buy,2021-05-04,300.0,-15542.97,USD
Borgwarner Inc Com,Stock,Buy,2021-06-01,200.0,-10589.04,USD
Chevron Corp,Stock,Buy,2021-06-01,100.0,-10647.5,USD
Bristol-Myers Squibb,Stock,Buy,2021-06-01,150.0,-9779.34,USD
Boston Scientific Co,Stock,Buy,2021-06-01,100.0,-4308.5,USD
Kroger Co,Stock,Sell,2020-07-02,-200.0,6780.85,USD
Change Healthcare Inc,Stock,Sell,2020-07-08,-171.0,1805.72,USD
Chevron Corp,Stock,Sell,2020-07-08,-50.0,4306.15,USD
Discover Finl S,Stock,Sell,2020-07-08,-150.0,7199.09,USD
Kroger Co,Stock,Sell,2020-07-08,-100.0,3354.11,USD
Norfolk Southern Co,Stock,Sell,2020-07-08,-25.0,4338.78,USD
Becton Dickinson&co,Stock,Sell,2020-07-08,-25.0,6298.86,USD
