Trade Date,Posted Date,Settle Date,Transaction Type,Security,Ticker Symbol,CUSIP,Quantity,Value,Currency,Paid to (from),Fees,Price Per Share,Principal Factor,Ex-Date
2021-06-30,2021-06-30,2021-06-30,Cash Dividend,Broadcom Inc,AVGO,11135F101,0.0,180.0,USD,Cash,,,,2021-06-21
2021-06-25,2021-06-25,2021-06-25,Cash Dividend,Bank Of America Corp,BAC,060505104,0.0,144.0,USD,Cash,,,,2021-06-03
2021-06-24,2021-06-24,2021-06-24,Cash Dividend,Vanguard FTSE Developed Markets ETF,VEA,921943858,0.0,1116.45,USD,Cash,,,,2021-06-21
2021-06-24,2021-06-24,2021-06-24,Cash Dividend,SPDR S&P 600 Small Cap Value ETF,SLYV,78464A300,0.0,238.72,USD,Cash,,,,2021-06-21
2021-06-23,2021-06-23,2021-06-23,Cash Dividend,CIGNA Corp,CI,125523100,0.0,130.0,USD,Cash,,,,2021-06-07
2021-06-23,2021-06-23,2021-06-23,Cash Dividend,BlackRock Inc,BLK,09247X101,0.0,144.55,USD,Cash,,,,2021-06-03
2021-06-17,2021-06-17,2021-06-17,Cash Dividend,Prudential Finl,PRU,744320102,0.0,230.0,USD,Cash,,,,2021-05-24
2021-06-17,2021-06-17,2021-06-17,Cash Dividend,Home Depot Inc,HD,437076102,0.0,181.5,USD,Cash,,,,2021-06-02
2021-06-15,2021-06-16,2021-06-15,Interest Received,USD,,,3.38,3.38,USD,Cash,,,,
2021-06-16,2021-06-16,2021-06-16,Cash Dividend,iShares MSCI Emerging Markets ETF,EEM,464287234,0.0,325.09,USD,Cash,,,,2021-06-10
2021-06-16,2021-06-16,2021-06-16,Cash Dividend,iShares Core S&P Mid Cap ETF,IJH,464287507,0.0,184.59,USD,Cash,,,,2021-06-10
2021-06-16,2021-06-16,2021-06-16,Cash Dividend,iShares MSCI EAFE Growth ETF,EFG,464288885,0.0,620.77,USD,Cash,,,,2021-06-10
2021-06-16,2021-06-16,2021-06-16,Cash Dividend,Ishars Edg MSCI USA QLTY FCTR ETF,QUAL,46432F339,0.0,75.69,USD,Cash,,,,2021-06-10
2021-06-15,2021-06-16,2021-06-15,Interest Received,USD,,,2.11,2.11,USD,Cash,,,,
2021-06-15,2021-06-15,2021-06-15,Cash Dividend,L3harris Technologies In,LHX,502431109,0.0,76.5,USD,Cash,,,,2021-05-28
2021-06-14,2021-06-14,2021-06-14,Cash Dividend,Masco Corp,MAS,574599106,0.0,47.0,USD,Cash,,,,2021-05-27
2021-06-10,2021-06-10,2021-06-10,Cash Dividend,Microsoft Corp,MSFT,594918104,0.0,112.0,USD,Cash,,,,2021-05-19
2021-06-10,2021-06-10,2021-06-10,Cash Dividend,Marathon Pete Corp,MPC,56585A102,0.0,232.0,USD,Cash,,,,2021-05-18
2021-06-10,2021-06-10,2021-06-10,Cash Dividend,Emerson Electric Co,EMR,291011104,0.0,126.25,USD,Cash,,,,2021-05-13
2021-06-10,2021-06-10,2021-06-10,Cash Dividend,Exxon Mobil Corp,XOM,30231G102,0.0,130.5,USD,Cash,,,,2021-05-12
2021-06-09,2021-06-09,2021-06-09,Cash Dividend,United Parcel SRVC Class                  B,UPS,911312106,0.0,153.0,USD,Cash,,,,2021-05-21
2021-06-09,2021-06-09,2021-06-09,Withdrawal,USD,,,-1886.66,-1886.66,USD,,,,,
2021-06-08,2021-06-08,2021-06-08,Cash Dividend,Amgen Inc.,AMGN,031162100,0.0,105.6,USD,Cash,,,,2021-05-14
2021-06-08,2021-06-08,2021-06-08,Cash Dividend,Johnson & Johnson,JNJ,478160104,0.0,159.0,USD,Cash,,,,2021-05-24
2021-06-04,2021-06-04,2021-06-04,Cash Dividend,JPMorgan Ultra SHRT Muncipl Incm ETF,JMST,46641Q654,0.0,59.01,USD,Cash,,,,2021-06-01
2021-06-03,2021-06-03,2021-06-03,Cash Dividend,Discover Finl S,DFS,254709108,0.0,110.0,USD,Cash,,,,2021-05-19
2021-06-03,2021-06-03,2021-06-03,Cash Dividend,Cummins Inc,CMI,231021106,0.0,67.5,USD,Cash,,,,2021-05-20
2021-06-02,2021-06-02,2021-06-02,Cash Dividend,Jabil Circuit Inc,JBL,466313103,0.0,24.0,USD,Cash,,,,2021-05-13
2021-06-01,2021-06-01,2021-06-03,Asset Sold,Walt Disney Co,DIS,254687106,-25.0,4478.61,USD,Cash,0.02,179.14520000000002,,
2021-06-01,2021-06-01,2021-06-01,Cash Dividend,Intel Corp,INTC,458140100,0.0,225.88,USD,Cash,,,,2021-05-06
2021-06-01,2021-06-01,2021-06-03,Asset Sold,Mastercard Inc Class                  A,MA,57636Q104,-25.0,9029.2,USD,Cash,0.05,361.17,,
2021-06-01,2021-06-01,2021-06-03,Asset Sold,Nike Inc Class                  B,NKE,654106103,-25.0,3364.61,USD,Cash,0.02,134.58520000000001,,
2021-06-01,2021-06-01,2021-06-03,Asset Bought,Boston Scientific Co,BSX,101137107,100.0,-4308.5,USD,(Cash),,43.085,,
2021-06-01,2021-06-01,2021-06-03,Asset Bought,Bristol-Myers Squibb,BMY,110122108,150.0,-9779.34,USD,(Cash),,65.1956,,
2021-06-01,2021-06-01,2021-06-03,Asset Bought,Chevron Corp,CVX,166764100,100.0,-10647.5,USD,(Cash),,106.475,,
2021-06-01,2021-06-01,2021-06-01,Cash Dividend,Kroger Co,KR,501044101,0.0,63.0,USD,Cash,,,,2021-05-13
2021-06-01,2021-06-01,2021-06-03,Asset Bought,Borgwarner Inc Com,BWA,099724106,200.0,-10589.04,USD,(Cash),,52.94520000000001,,
2021-06-01,2021-06-01,2021-06-01,Cash Dividend,WalMart Inc,WMT,931142103,0.0,118.25,USD,Cash,,,,2021-05-06
2021-05-28,2021-05-28,2021-05-28,Cash Dividend,Charles Schwab Corp,SCHW,808513105,0.0,72.0,USD,Cash,,,,2021-05-13
2021-05-28,2021-05-28,2021-05-28,Cash Dividend,Starbucks Corp,SBUX,855244109,0.0,101.25,USD,Cash,,,,2021-05-12
2021-05-20,2021-05-20,2021-05-20,Cash Dividend,Norfolk Southern Co,NSC,655844108,0.0,59.4,USD,Cash,,,,2021-05-06
2021-05-15,2021-05-17,2021-05-15,Interest Received,USD,,,1.82,1.82,USD,Cash,,,,
2021-05-15,2021-05-17,2021-05-15,Interest Received,USD,,,3.23,3.23,USD,Cash,,,,
2021-05-17,2021-05-17,2021-05-17,Cash Dividend,Procter & Gamble,PG,742718109,0.0,130.47,USD,Cash,,,,2021-04-22
2021-05-11,2021-05-14,2021-05-14,Fees,Alibaba Group Holding  F Sponsored ADR,BABA,01609W102,0.0,-1.4,USD,(Cash),,,,
2021-05-14,2021-05-14,2021-05-14,Cash Dividend,Abbvie Inc,ABBV,00287Y109,0.0,169.0,USD,Cash,,,,2021-04-14
2021-05-13,2021-05-13,2021-05-13,Cash Dividend,Apple Inc,AAPL,037833100,0.0,99.0,USD,Cash,,,,2021-05-07
2021-05-07,2021-05-07,2021-05-07,Cash Dividend,Mastercard Inc Class                  A,MA,57636Q104,0.0,55.0,USD,Cash,,,,2021-04-08
2021-05-06,2021-05-06,2021-05-06,Cash Dividend,JPMorgan Ultra SHRT Muncipl Incm ETF,JMST,46641Q654,0.0,76.91,USD,Cash,,,,2021-05-03
2021-05-04,2021-05-04,2021-05-06,Asset Bought,Jabil Circuit Inc,JBL,466313103,300.0,-15542.97,USD,(Cash),,51.8099,,
2021-05-04,2021-05-04,2021-05-06,Asset Bought,Marathon Pete Corp,MPC,56585A102,75.0,-4347.38,USD,(Cash),,57.965066666666665,,
2021-05-04,2021-05-04,2021-05-06,Asset Bought,VMware Inc Class A,VMW,928563402,85.0,-13599.99,USD,(Cash),,159.99988235294117,,
2021-05-04,2021-05-04,2021-05-06,Asset Bought,J P Morgan Chase & Co,JPM,46625H100,35.0,-5419.09,USD,(Cash),,154.83114285714285,,
2021-05-04,2021-05-04,2021-05-06,Asset Bought,Cisco Systems Inc,CSCO,17275R102,300.0,-15178.5,USD,(Cash),,50.595,,
2021-05-01,2021-05-03,2021-05-03,Interest Received,Virginia State Res  5%22 Finl Auth   Due 11/01/22,,92818MW97,0.0,125.0,USD,Cash,,,,
2021-05-01,2021-05-03,2021-05-03,Interest Received,Virginia State Res  5%22 **Partial**,,92818MY61,0.0,1125.0,USD,Cash,,,,
2021-04-30,2021-04-30,2021-04-30,Cash Dividend,J P Morgan Chase & Co,JPM,46625H100,0.0,180.0,USD,Cash,,,,2021-04-05
2021-04-28,2021-04-28,2021-04-28,Cash Dividend,Agilent Technologies,A,00846U101,0.0,32.01,USD,Cash,,,,2021-04-05
2021-04-28,2021-04-28,2021-04-28,Cash Dividend,Comcast Corp Class                  A,CMCSA,20030N101,0.0,125.0,USD,Cash,,,,2021-04-06
2021-04-22,2021-04-22,2021-04-22,Deposit,USD,,,227269.0,227269.0,USD,,,,,
2021-04-20,2021-04-20,2021-04-22,Asset Sold,JPMorgan Ultra SHRT Muncipl Incm ETF,JMST,46641Q654,-2000.0,102139.68,USD,Cash,0.52,51.0701,,
2021-04-20,2021-04-20,2021-04-20,Cash Dividend,Cerner Corp,CERN,156782104,0.0,55.0,USD,Cash,,,,2021-04-05
2021-04-15,2021-04-16,2021-04-15,Interest Received,USD,,,0.39,0.39,USD,Cash,,,,
2021-04-15,2021-04-16,2021-04-15,Interest Received,USD,,,2.11,2.11,USD,Cash,,,,
2021-04-07,2021-04-07,2021-04-07,Cash Dividend,JPMorgan Ultra SHRT Muncipl Incm ETF,JMST,46641Q654,0.0,86.88,USD,Cash,,,,2021-04-01
2021-04-06,2021-04-06,2021-04-06,Deposit,USD,,,70063.97,70063.97,USD,,,,,
2021-04-05,2021-04-05,2021-04-05,Cash Dividend,Eastman Chemical Co,EMN,277432100,0.0,172.5,USD,Cash,,,,2021-03-12
2021-04-05,2021-04-05,2021-04-05,Cash Dividend,WalMart Inc,WMT,931142103,0.0,118.25,USD,Cash,,,,2021-03-18
